name,fitness,precision,f-score,generalization,simplicity,time (sec)
im,0.9925699859273852,0.186626616168212,0.3141799721175594,0.9493367660590244,0.6237623762376238,307.227
shm6,0.9216275996918852,0.4788500274674968,0.6302441293866348,0.177925654872085,0.630057803468208,989.806
sm,0.7636128053622114,0.9801421917136554,0.8584338165893927,0.913201637611624,0.7254901960784313,74.946
