name,fitness,precision,f-score,generalization,simplicity,time (sec)
sm,0.9959116933582408,0.928577806968715,0.9610668138183984,0.9890718917284032,0.6969696969696969,9.247
fo,0.9963185056465348,0.9841098403910078,0.990176541890228,0.959566456410928,0.6000000000000001,11.07
im,0.9916875906840732,0.7084135016600294,0.8264507114699392,0.9914346405414302,0.6533333333333333,7.069
shm6,0.97665455893444,0.9801220910350863,0.9783852526415631,0.17079556879740887,0.6621004566210045,25.794
